name,description,height,weight,gender,category,abilities,type,weakness
Bulbasaur,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.","2' 04""",15.2 lbs,,Seed,Overgrow,"Grass,Poison","Fire,Psychic,Flying,Ice"
Ivysaur,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon.","3' 03""",28.7 lbs,,Seed,Overgrow,"Grass,Poison","Fire,Psychic,Flying,Ice"
Venusaur,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,"6' 07""",220.5 lbs,,Seed,Overgrow,"Grass,Poison","Fire,Psychic,Flying,Ice"
Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.","2' 00""",18.7 lbs,,Lizard,Blaze,Fire,"Water,Ground,Rock"
Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.","3' 07""",41.9 lbs,,Flame,Blaze,Fire,"Water,Ground,Rock"
Charizard,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","5' 07""",199.5 lbs,,Flame,Blaze,"Fire,Flying","Water,Electric,Rock"
Squirtle,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.","1' 08""",19.8 lbs,,Tiny Turtle,Torrent,Water,"Grass,Electric"
Wartortle,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler.","3' 03""",49.6 lbs,,Turtle,Torrent,Water,"Grass,Electric"
Blastoise,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,"5' 03""",188.5 lbs,,Shellfish,Torrent,Water,"Grass,Electric"
Caterpie,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food.","1' 00""",6.4 lbs,,Worm,Shield Dust,Bug,"Fire,Flying,Rock"
